Harlan County, U.S.A.	1976	1990
Harold and Maude	1972	1997
He Who Gets Slapped	1924	2017
Hearts and Minds	1974	2018
The Heiress	1949	1996
Hell’s Hinges	1916	1994
Heroes All	1920	2009
Hester Street	1975	2011
High Noon	1952	1989
High School	1969	1991
Hindenburg Disaster Newsreel Footage	1937	1997
His Girl Friday	1940	1993
The Hitch-Hiker	1953	1998
The Hole	1963	2013
Hoop Dreams	1994	2005
Hoosiers	1986	2001
Hospital	1970	1994
The Hospital	1971	1995
Hot Dogs for Gauguin	1972	2009
Hours for Jerome: Parts 1 and 2	1980-82	2012
The House I Live In	1945	2007
The House in the Middle	1954	2001
House of Usher	1960	2005
House of Wax	1953	2014
How Green Was My Valley	1941	1990
How the West Was Won	1962	1997
Hud	1963	2018
Humoresque	1920	2015
The Hunters	1957	2003
The Hurt Locker	2009	2020
The Hustler	1961	1997
I Am a Fugitive from a Chain Gang	1932	1991
I Am Joaquin	1969	2010
I am Somebody	1970	2019
I, an Actress	1977	2011
Illusions	1982	2020
Imitation of Life	1934	2005
Imitation of Life	1959	2015
The Immigrant	1917	1998
In a Lonely Place	1950	2007
In Cold Blood	1967	2008
In the Heat of the Night	1967	2002
In the Land of the Head Hunters	1914	1999
In the Street	1948	2006
The Incredible Shrinking Man	1957	2009
The Informer	1935	2018
The Inner World of Aphasia	1968	2015
Interior New York Subway, 14th Street to 42nd Street	1905	2017
Into the Arms of Strangers: Stories of the Kindertransport	2000	2014
Intolerance	1916	1989
Invasion of the Body Snatchers	1956	1994
The Invisible Man	1933	2008
The Iron Horse	1924	2011
It	1927	2001
It Happened One Night	1934	1993
It's a Gift	1934	2010
It's a Wonderful Life	1946	1990
The Italian	1915	1991
Jailhouse Rock	1957	2004
Jam Session	1942	2001
Jammin’ the Blues	1944	1995
Jaws	1975	2001
Jazz on a Summer’s Day	1959	1999
The Jazz Singer	1927	1996
Jeffries-Johnson World’s Championship Boxing Contest	1910	2005
Jezebel	1938	2009
John Henry and the Inky-Poo	1946	2015
Johnny Guitar	1954	2008
The Joy Luck Club	1993	2020
Judgment at Nuremberg	1961	2013
The Jungle	1967	2009
Jurassic Park	1993	2018
Kannapolis, N.C.	1941	2004
The Kid	1921	2011
Kid Auto Races at Venice	1914	2020
Kidnapper's Foil	1930s	2012
Killer of Sheep	1977	1990
The Killers	1946	2008
King Kong	1933	1991
King of Jazz	1930	2013
King: A Filmed Record... Montgomery to Memphis	1970	1999
The Kiss	1896	1999
Kiss Me Deadly	1955	1999
Knute Rockne, All American	1940	1997
Koyaanisqatsi	1983	2000
L.A. Confidential	1997	2015
La Bamba	1987	2017
The Lady Eve	1941	1994
The Lady from Shanghai	1947	2018
Lady Helen’s Escapade	1909	2004
